Age (bin),Age Group,Category,Color,Discount,Discount Count,Frequency of Purchases,Gender,Item,Location,Past Purchases,Payment Method,Season,Shipping Type,Size,Subscription Status,Table Name,Age,Customer,Previous Purchases,Product Count,Review Rating,Sales (USD)
20,18-24,Accessories,Magenta,Yes,1,Monthly,Male,Belt,Alabama,1 - 3,Card,Fall,Courier,M,No,Retail_Clothing_Sales.csv,22,71,1,1,4.2,15.09
30,35-44,Clothing,Gold,Yes,1,Fortnightly,Male,Dress,Virginia,1 - 3,Cash,Summer,Courier,L,No,Retail_Clothing_Sales.csv,36,72,1,1,2.9,33.32
10,18-24,Clothing,Olive,Yes,1,Monthly,Male,Dress,Georgia,1 - 3,Cash,Winter,Store Pickup,M,No,Retail_Clothing_Sales.csv,18,73,3,1,2.9,12.96
40,45-54,Clothing,Teal,Yes,1,Weekly,Male,Pants,Hawaii,"0
New",Cash,Spring,Courier,M,No,Retail_Clothing_Sales.csv,48,74,0,1,2.7,130.4
40,45-54,Accessories,Violet,Yes,1,Monthly,Male,Gloves,Indiana,1 - 3,Cash,Spring,Courier,L,Yes,Retail_Clothing_Sales.csv,49,75,2,1,4.5,47.28
60,55-64,Accessories,Blue,Yes,1,Fortnightly,Male,Scarf,Utah,1 - 3,Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,64,76,3,1,2.7,130.3
50,45-54,Accessories,Teal,Yes,1,Monthly,Male,Hat,Delaware,1 - 3,Card,Summer,Courier,S,No,Retail_Clothing_Sales.csv,50,77,1,1,4.2,27.66
20,18-24,Clothing,Gold,Yes,1,Fortnightly,Male,Dress,Delaware,"0
New",Card,Summer,Store Pickup,L,No,Retail_Clothing_Sales.csv,22,78,0,1,3.3,39.9
50,45-54,Clothing,Maroon,Yes,1,Fortnightly,Male,Skirt,Nebraska,"0
New",Card,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,50,79,0,1,4.7,179.48
30,35-44,Outerwear,Olive,Yes,1,Monthly,Male,Jacket,Iowa,"0
New",Cash,Winter,Courier,M,No,Retail_Clothing_Sales.csv,38,80,0,1,2.6,278.19
10,18-24,Footwear,Blue,Yes,1,Monthly,Male,Sandals,New York,1 - 3,Card,Summer,Store Pickup,XL,No,Retail_Clothing_Sales.csv,19,81,2,1,3.3,77.15
30,25-34,Footwear,Maroon,Yes,1,Monthly,Male,Shoes,Virginia,"0
New",Card,Summer,Courier,L,No,Retail_Clothing_Sales.csv,31,82,0,1,2.6,277.56
10,18-24,Clothing,Olive,Yes,1,Monthly,Male,Pants,Georgia,1 - 3,Card,Spring,Courier,S,No,Retail_Clothing_Sales.csv,19,83,3,1,4,14.32
30,35-44,Clothing,Turquoise,Yes,1,Weekly,Male,Dress,Texas,1 - 3,Cash,Summer,Courier,M,No,Retail_Clothing_Sales.csv,36,84,1,1,4.1,24.65
10,18-24,Outerwear,Peach,Yes,1,Monthly,Male,Coat,Arizona,"0
New",Cash,Spring,Courier,S,No,Retail_Clothing_Sales.csv,19,85,0,1,4.4,17.47
20,25-34,Accessories,Charcoal,Yes,1,Weekly,Male,Sunglasses,New Mexico,1 - 3,Card,Winter,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,28,86,1,1,4.5,247.12
20,18-24,Clothing,Pink,Yes,1,Weekly,Male,Hoodie,Nevada,"0
New",Cash,Spring,Courier,L,No,Retail_Clothing_Sales.csv,24,87,0,1,3.7,25.69
10,18-24,Footwear,Green,Yes,1,Fortnightly,Male,Shoes,Ohio,"0
New",Card,Fall,Courier,M,No,Retail_Clothing_Sales.csv,19,88,0,1,3.7,39.88
30,25-34,Clothing,Orange,Yes,1,Monthly,Male,T-shirt,Wyoming,"0
New",Card,Fall,Courier,M,No,Retail_Clothing_Sales.csv,33,89,0,1,3.5,32.11
30,25-34,Outerwear,Pink,Yes,1,Quarterly,Male,Jacket,California,4 - 6,Cash,Fall,Store Pickup,XL,No,Retail_Clothing_Sales.csv,33,90,5,1,3.6,119.01
20,25-34,Accessories,Violet,Yes,1,Monthly,Male,Hat,South Carolina,1 - 3,Card,Summer,Courier,L,No,Retail_Clothing_Sales.csv,25,91,1,1,2.9,33.31
20,18-24,Accessories,Green,Yes,1,Monthly,Male,Scarf,South Carolina,4 - 6,Card,Winter,Courier,S,Yes,Retail_Clothing_Sales.csv,24,92,4,1,4.6,573.93
30,35-44,Outerwear,Olive,Yes,1,Monthly,Male,Jacket,Texas,4 - 6,Card,Winter,Courier,M,Yes,Retail_Clothing_Sales.csv,36,93,6,1,4.4,141.18
30,35-44,Clothing,Purple,Yes,1,Weekly,Male,Sweater,Florida,"0
New",Card,Fall,Courier,M,Yes,Retail_Clothing_Sales.csv,37,94,0,1,4.5,54.05
40,35-44,Clothing,Silver,Yes,1,Weekly,Male,Skirt,Nevada,1 - 3,Card,Spring,Courier,S,Yes,Retail_Clothing_Sales.csv,43,95,2,1,4.6,89.2
30,35-44,Footwear,Pink,Yes,1,Monthly,Male,Sneakers,Missouri,"0
New",Card,Fall,Courier,L,Yes,Retail_Clothing_Sales.csv,37,96,0,1,3.8,1212.81
30,25-34,Accessories,Gold,Yes,1,Monthly,Male,Gloves,Delaware,"0
New",Card,Spring,Courier,S,No,Retail_Clothing_Sales.csv,32,97,0,1,3.6,80.11
20,18-24,Footwear,Teal,Yes,1,Fortnightly,Male,Shoes,Virginia,"0
New",Cash,Winter,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,21,98,0,1,4.8,189.73
20,18-24,Clothing,Teal,Yes,1,Fortnightly,Male,Jeans,New York,1 - 3,Cash,Spring,Store Pickup,XL,No,Retail_Clothing_Sales.csv,20,99,3,1,2.6,64.61
20,25-34,Clothing,Indigo,Yes,1,Quarterly,Male,Hoodie,Missouri,1 - 3,Card,Summer,Courier,XL,No,Retail_Clothing_Sales.csv,26,100,1,1,3.7,24.64
20,25-34,Accessories,Maroon,Yes,1,Fortnightly,Male,Sunglasses,South Dakota,1 - 3,Cash,Fall,Courier,M,No,Retail_Clothing_Sales.csv,25,101,1,1,2.7,399.24
20,25-34,Outerwear,White,Yes,1,Weekly,Male,Coat,North Dakota,"0
New",Card,Spring,Courier,XL,Yes,Retail_Clothing_Sales.csv,27,102,0,1,4.6,130.2
20,25-34,Clothing,Violet,Yes,1,Quarterly,Male,Socks,Oklahoma,"0
New",Card,Winter,Store Pickup,L,Yes,Retail_Clothing_Sales.csv,27,103,0,1,4.8,64.59
20,18-24,Footwear,Red,Yes,1,Weekly,Male,Boots,West Virginia,1 - 3,Card,Winter,Store Pickup,L,Yes,Retail_Clothing_Sales.csv,21,104,3,1,4,157.21
50,55-64,Accessories,Pink,Yes,1,Monthly,Male,Sunglasses,New Hampshire,"0
New",Card,Spring,Courier,L,No,Retail_Clothing_Sales.csv,55,105,0,1,4.4,11.59
30,25-34,Accessories,Charcoal,Yes,1,Fortnightly,Male,Backpack,New York,1 - 3,Cash,Fall,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,33,106,3,1,3.6,276.93
60,55-64,Outerwear,White,Yes,1,Monthly,Male,Jacket,Minnesota,1 - 3,Card,Summer,Courier,L,No,Retail_Clothing_Sales.csv,64,107,1,1,3.7,19.95
20,25-34,Footwear,Olive,Yes,1,Fortnightly,Male,Sneakers,Maryland,"0
New",Card,Winter,Store Pickup,L,No,Retail_Clothing_Sales.csv,28,108,0,1,3.1,64.56
70,65-70,Clothing,Purple,Yes,1,Weekly,Male,Socks,Montana,1 - 3,Cash,Spring,Store Pickup,L,No,Retail_Clothing_Sales.csv,70,109,1,1,3.4,99.95
40,35-44,Clothing,Violet,Yes,1,Fortnightly,Male,T-shirt,Alabama,"0
New",Cash,Spring,Store Pickup,M,No,Retail_Clothing_Sales.csv,43,110,0,1,2.6,130.11
50,55-64,Accessories,Black,Yes,1,Fortnightly,Male,Backpack,New York,1 - 3,Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,56,111,2,1,4,12.95
20,25-34,Accessories,Purple,Yes,1,Fortnightly,Male,Belt,Massachusetts,1 - 3,Card,Summer,Courier,L,Yes,Retail_Clothing_Sales.csv,26,112,2,1,5,85.84
30,35-44,Accessories,Red,Yes,1,Weekly,Male,Gloves,Florida,1 - 3,Card,Spring,Courier,M,No,Retail_Clothing_Sales.csv,37,113,2,1,4.3,60.15
20,18-24,Accessories,Maroon,Yes,1,Quarterly,Male,Hat,New Jersey,1 - 3,Card,Winter,Store Pickup,L,No,Retail_Clothing_Sales.csv,24,114,3,1,3.1,41.18
70,65-70,Outerwear,Blue,Yes,1,Weekly,Male,Coat,Massachusetts,7 & more,Cash,Summer,Store Pickup,S,Yes,Retail_Clothing_Sales.csv,70,115,8,1,3.7,246.67
20,25-34,Clothing,Gray,Yes,1,Monthly,Male,Skirt,Wyoming,"0
New",Card,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,28,116,0,1,3.8,223.34
50,55-64,Footwear,Blue,Yes,1,Fortnightly,Male,Shoes,Virginia,7 & more,Card,Spring,Courier,S,No,Retail_Clothing_Sales.csv,55,117,8,1,3.4,135.77
50,45-54,Footwear,Yellow,Yes,1,Fortnightly,Male,Sandals,South Dakota,1 - 3,Cash,Summer,Courier,L,Yes,Retail_Clothing_Sales.csv,50,118,1,1,4.6,17.47
50,45-54,Clothing,Orange,Yes,1,Weekly,Male,Sweater,Kentucky,1 - 3,Cash,Fall,Courier,L,Yes,Retail_Clothing_Sales.csv,50,119,2,1,4.8,29.93
30,35-44,Outerwear,Orange,Yes,1,Fortnightly,Male,Coat,Wyoming,"0
New",Cash,Fall,Courier,M,Yes,Retail_Clothing_Sales.csv,38,120,0,1,4.3,89.15
60,55-64,Accessories,Red,Yes,1,Fortnightly,Male,Hat,West Virginia,1 - 3,Cash,Summer,Courier,L,Yes,Retail_Clothing_Sales.csv,64,121,1,1,4,124.22
10,18-24,Clothing,Olive,Yes,1,Fortnightly,Male,Shorts,Virginia,1 - 3,Cash,Winter,Courier,M,Yes,Retail_Clothing_Sales.csv,19,122,1,1,4.2,77.11
40,35-44,Accessories,Brown,Yes,1,Fortnightly,Male,Backpack,Washington,"0
New",Cash,Spring,Courier,L,Yes,Retail_Clothing_Sales.csv,40,123,0,1,4.8,24.63
20,18-24,Clothing,Brown,Yes,1,Weekly,Male,Sweater,Louisiana,"0
New",Cash,Fall,Courier,L,No,Retail_Clothing_Sales.csv,24,124,0,1,3.1,157.06
20,18-24,Clothing,Gray,Yes,1,Fortnightly,Male,Sweater,Nevada,"0
New",Card,Spring,Store Pickup,M,No,Retail_Clothing_Sales.csv,24,125,0,1,3.1,135.66
40,45-54,Clothing,Indigo,Yes,1,Monthly,Male,Shorts,California,"0
New",Card,Winter,Store Pickup,M,No,Retail_Clothing_Sales.csv,49,126,0,1,3.6,41.17
30,35-44,Footwear,Cyan,Yes,1,Monthly,Male,Boots,California,4 - 6,Card,Fall,Courier,L,Yes,Retail_Clothing_Sales.csv,35,127,4,1,4.9,276.31
40,35-44,Clothing,Pink,Yes,1,Monthly,Male,Shorts,Mississippi,"0
New",Cash,Spring,Store Pickup,L,No,Retail_Clothing_Sales.csv,43,127,0,1,3.9,20.9
20,18-24,Clothing,Gray,Yes,1,Weekly,Male,Sweater,Mississippi,1 - 3,Card,Winter,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,24,128,2,1,4.8,156.92
20,18-24,Accessories,Gold,Yes,1,Fortnightly,Male,Scarf,California,1 - 3,Card,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,20,129,3,1,4.7,17.46
20,18-24,Clothing,Olive,Yes,1,Weekly,Male,Dress,Pennsylvania,"0
New",Card,Summer,Courier,XL,No,Retail_Clothing_Sales.csv,24,130,0,1,4.2,64.53
20,18-24,Accessories,Violet,Yes,1,Fortnightly,Male,Scarf,Kentucky,4 - 6,Card,Fall,Store Pickup,L,No,Retail_Clothing_Sales.csv,24,131,6,1,3.7,23.68
20,25-34,Clothing,Indigo,Yes,1,Weekly,Male,Skirt,Maine,"0
New",Card,Summer,Courier,L,No,Retail_Clothing_Sales.csv,28,132,0,1,3.9,15.09
30,25-34,Accessories,Orange,Yes,1,Weekly,Male,Backpack,New Mexico,"0
New",Card,Fall,Courier,M,Yes,Retail_Clothing_Sales.csv,30,133,0,1,4.7,47.26
10,18-24,Clothing,Violet,Yes,1,Fortnightly,Male,Sweater,Montana,1 - 3,Card,Winter,Store Pickup,M,No,Retail_Clothing_Sales.csv,19,134,2,1,2.5,60.13
40,35-44,Accessories,Gray,Yes,1,Monthly,Male,Hat,Texas,1 - 3,Cash,Fall,Store Pickup,L,Yes,Retail_Clothing_Sales.csv,43,135,2,1,4.9,222.99
40,35-44,Footwear,Purple,Yes,1,Quarterly,Male,Sandals,Kansas,7 & more,Card,Fall,Courier,M,Yes,Retail_Clothing_Sales.csv,43,136,8,1,4.1,108.72
30,35-44,Clothing,White,Yes,1,Quarterly,Male,Blouse,South Carolina,1 - 3,Card,Winter,Courier,M,No,Retail_Clothing_Sales.csv,39,137,3,1,3.3,135.56
30,25-34,Footwear,Turquoise,Yes,1,Weekly,Male,Sneakers,Colorado,"0
New",Card,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,30,138,0,1,4.7,27.66
30,25-34,Clothing,Maroon,Yes,1,Weekly,Male,Skirt,Georgia,"0
New",Cash,Winter,Store Pickup,M,No,Retail_Clothing_Sales.csv,30,139,0,1,4.4,15.08
40,45-54,Outerwear,White,Yes,1,Fortnightly,Male,Coat,Florida,1 - 3,Card,Fall,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,49,140,1,1,3.8,246.22
30,25-34,Clothing,Yellow,Yes,1,Weekly,Male,Shirt,North Carolina,"0
New",Card,Fall,Courier,L,No,Retail_Clothing_Sales.csv,34,141,0,1,3.9,14.32
50,55-64,Accessories,Turquoise,Yes,1,Weekly,Male,Gloves,Virginia,"0
New",Card,Fall,Courier,M,Yes,Retail_Clothing_Sales.csv,56,142,0,1,4.9,31.05
30,35-44,Outerwear,Violet,Yes,1,Fortnightly,Male,Jacket,Nebraska,1 - 3,Card,Fall,Courier,L,No,Retail_Clothing_Sales.csv,37,143,1,1,3.1,47.25
30,25-34,Outerwear,Beige,Yes,1,Quarterly,Male,Coat,Missouri,1 - 3,Card,Fall,Store Pickup,M,No,Retail_Clothing_Sales.csv,30,144,2,1,2.7,33.3
